
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017769, 0.011908, 0.000059, 1513017769, 0.011910, 0.000057, 1513017770, 0.011919, 0.000060, 28.565248, 1, 5, 36, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017778, 0.011924, 0.000054, 1513017778, 0.011924, 0.000053, 1513017779, 0.011916, 0.000062, 28.756449, 1, 5, 36, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017788, 0.011916, 0.000062, 1513017788, 0.011915, 0.000062, 1513017789, 0.011936, 0.000055, 29.439072, 1, 5, 36, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017797, 0.011926, 0.000067, 1513017797, 0.011924, 0.000067, 1513017798, 0.011925, 0.000061, 31.734400, 1, 5, 36, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017806, 0.011925, 0.000061, 1513017806, 0.011925, 0.000061, 1513017807, 0.011914, 0.000060, 28.509920, 1, 5, 72, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017815, 0.011914, 0.000060, 1513017815, 0.011911, 0.000059, 1513017816, 0.011929, 0.000062, 28.608736, 1, 5, 72, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017824, 0.011929, 0.000062, 1513017824, 0.011930, 0.000060, 1513017825, 0.011930, 0.000062, 29.385441, 1, 5, 72, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017834, 0.011930, 0.000062, 1513017834, 0.011930, 0.006655, 1513017835, 0.011910, 0.000070, 31.276287, 1, 5, 72, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017844, 0.011910, 0.000070, 1513017844, 0.011910, 0.000068, 1513017845, 0.011919, 0.000063, 28.426529, 1, 5, 144, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017853, 0.011919, 0.000063, 1513017853, 0.011918, 0.000063, 1513017854, 0.011921, 0.000063, 28.660576, 1, 5, 144, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017862, 0.011919, 0.000063, 1513017862, 0.011900, 0.000060, 1513017863, 0.011925, 0.000062, 29.403936, 1, 5, 144, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017872, 0.011899, 0.000060, 1513017872, 0.011902, 0.009270, 1513017873, 0.011898, 0.000061, 31.819777, 1, 5, 144, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017883, 0.011898, 0.000061, 1513017883, 0.011898, 0.000061, 1513017884, 0.011904, 0.000057, 30.047104, 1, 5, 1024, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017893, 0.011904, 0.000057, 1513017893, 0.011905, 0.000056, 1513017894, 0.011904, 0.000056, 30.141088, 1, 5, 1024, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017902, 0.011904, 0.000056, 1513017902, 0.011906, 0.000055, 1513017903, 0.011902, 0.000057, 30.429695, 1, 5, 1024, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017912, 0.011901, 0.000053, 1513017912, 0.011903, 0.000053, 1513017913, 0.011899, 0.000057, 32.139874, 1, 5, 1024, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017920, 0.011899, 0.000057, 1513017920, 0.011901, 0.000054, 1513017921, 0.011924, 0.000042, 30.799105, 1, 5, 2048, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017929, 0.011899, 0.000056, 1513017929, 0.011898, 0.000055, 1513017930, 0.011892, 0.000063, 31.095776, 1, 5, 2048, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017938, 0.011901, 0.000054, 1513017938, 0.011901, 0.000054, 1513017939, 0.011848, 0.000090, 31.072224, 1, 5, 2048, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017962, 0.011849, 0.000088, 1513017962, 0.011850, 0.000086, 1513017963, 0.011860, 0.000083, 32.426079, 1, 5, 2048, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017970, 0.011836, 0.000096, 1513017970, 0.011835, 0.000093, 1513017971, 0.011844, 0.000089, 32.017567, 1, 5, 4096, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017979, 0.011844, 0.000089, 1513017979, 0.011846, 0.000088, 1513017980, 0.011780, 0.000100, 31.787680, 1, 5, 4096, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017988, 0.011798, 0.000102, 1513017988, 0.011841, 0.000083, 1513017989, 0.011854, 0.000087, 32.112926, 1, 5, 4096, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017998, 0.011854, 0.000087, 1513017998, 0.011850, 0.000083, 1513017999, 0.011845, 0.000088, 32.953728, 1, 5, 4096, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018007, 0.011845, 0.000088, 1513018007, 0.011845, 0.000085, 1513018008, 0.011779, 0.000108, 34.250401, 1, 5, 8192, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018015, 0.011781, 0.000104, 1513018016, 0.011783, 0.000102, 1513018017, 0.011779, 0.000097, 33.853855, 1, 5, 8192, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018024, 0.011777, 0.000102, 1513018025, 0.011780, 0.000099, 1513018026, 0.011761, 0.000098, 34.422722, 1, 5, 8192, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018033, 0.011761, 0.000098, 1513018033, 0.011760, 0.000096, 1513018034, 0.011774, 0.000097, 34.399937, 1, 5, 8192, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018043, 0.011816, 0.000111, 1513018043, 0.011824, 0.000102, 1513018045, 0.011819, 0.000104, 33.298111, 1, 10, 1, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018053, 0.011851, 0.000092, 1513018053, 0.011849, 0.000088, 1513018055, 0.011823, 0.000112, 34.366753, 1, 10, 1, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018063, 0.011823, 0.000112, 1513018063, 0.011824, 0.000110, 1513018065, 0.011824, 0.000110, 35.750080, 1, 10, 1, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018075, 0.011834, 0.000106, 1513018075, 0.011832, 0.011832, 1513018077, 0.011846, 0.000086, 39.959103, 1, 10, 1, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018086, 0.011846, 0.000087, 1513018086, 0.011842, 0.000084, 1513018088, 0.011849, 0.000084, 33.392673, 1, 10, 6, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513018100, 0.011860, 0.000075, 1513018100, 0.011861, 0.000072, 1513018102, 0.011861, 0.000091, 33.767521, 1, 10, 6, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
